DEBUG:2018-09-15 23:18:25,725 class Data called.
INFO:2018-09-15 23:18:29,468 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/52.png to self.image_list
INFO:2018-09-15 23:18:29,493 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/53.png to self.image_list
INFO:2018-09-15 23:18:29,519 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/54.png to self.image_list
INFO:2018-09-15 23:18:29,540 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/55.png to self.image_list
INFO:2018-09-15 23:18:29,569 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/56.png to self.image_list
INFO:2018-09-15 23:18:29,589 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/57.png to self.image_list
INFO:2018-09-15 23:18:29,633 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/58.png to self.image_list
INFO:2018-09-15 23:18:29,668 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/59.png to self.image_list
INFO:2018-09-15 23:18:29,710 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/60.png to self.image_list
INFO:2018-09-15 23:18:29,742 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/61.png to self.image_list
INFO:2018-09-15 23:18:29,782 adding C:/Users/Luke/Desktop/Memory Palace/Palaces/MATRIX/62.png to self.image_list
WARNING:2018-09-15 23:18:29,782 image list is: [<Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1390x580x32 SW)>, <Surface(1390x580x32 SW)>, <Surface(1390x580x32 SW)>, <Surface(1390x580x32 SW)>, <Surface(1280x552x32 SW)>]
INFO:2018-09-15 23:18:29,891 new Viewer class created.  Image list is: [<Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1433x609x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1427x606x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1038x436x32 SW)>, <Surface(1390x580x32 SW)>, <Surface(1390x580x32 SW)>, <Surface(1390x580x32 SW)>, <Surface(1390x580x32 SW)>, <Surface(1280x552x32 SW)>]
